저널 IF 랭킹 600,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Journal of Ambient Intelligence and Smart Environments,J AMB INTEL SMART EN,SAGE PUBLICATIONS INC,1876-1364,1876-1372,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1.9,178/266,0.6691729323308271,가능 (기존 통신 응용을 넘어선 AI 알고리즘 자체의 독창성 입증 필수)
IEEE JOURNAL OF QUANTUM ELECTRONICS,IEEE J QUANTUM ELECT,IEEE,0018-9197,1558-1713,"ENGINEERING, ELECTRICAL & ELECTRONIC",1.9,255/369,0.6910569105691057,불일치 (양자/광학 물리 주력)
Physical Communication,PHYS COMMUN-AMST,ELSEVIER,1874-4907,1874-4907,"ENGINEERING, ELECTRICAL & ELECTRONIC",1.9,255/369,0.6910569105691057,가능 (통신 시스템/알고리즘 기여도 어필)
IEEE TRANSACTIONS ON MAGNETICS,IEEE T MAGN,IEEE,0018-9464,1941-0069,"ENGINEERING, ELECTRICAL & ELECTRONIC",1.9,255/369,0.6910569105691057,가능 (세부 논문 방향에 따라 융합 포장 필요)
ELECTRIC POWER COMPONENTS AND SYSTEMS,ELECTR POW COMPO SYS,TAYLOR & FRANCIS INC,1532-5008,1532-5016,"ENGINEERING, ELECTRICAL & ELECTRONIC",1.9,255/369,0.6910569105691057,불일치 (배터리/전력망/에너지 하드웨어 주력)
Journal of Sensors,J SENSORS,WILEY,1687-725X,1687-7268,"ENGINEERING, ELECTRICAL & ELECTRONIC",1.9,255/369,0.6910569105691057,가능 (세부 논문 방향에 따라 융합 포장 필요)
MICROSYSTEM TECHNOLOGIES-MICRO-AND NANOSYSTEMS-INFORMATION STORAGE AND PROCESSING SYSTEMS,MICROSYST TECHNOL,SPRINGER HEIDELBERG,0946-7076,1432-1858,"ENGINEERING, ELECTRICAL & ELECTRONIC",1.9,255/369,0.6910569105691057,가능 (통신 시스템/알고리즘 기여도 어필)
Revue Roumaine des Sciences Techniques-Serie Electrotechnique et Energetique,REV ROUM SCI TECH-EL,EDITURA ACAD ROMANE,0035-4066,,"ENGINEERING, ELECTRICAL & ELECTRONIC",1.9,255/369,0.6910569105691057,가능 (세부 논문 방향에 따라 융합 포장 필요)
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART F-JOURNAL OF RAIL AND RAPID TRANSIT,P I MECH ENG F-J RAI,SAGE PUBLICATIONS LTD,0954-4097,2041-3017,TRANSPORTATION SCIENCE & TECHNOLOGY,1.9,57/80,0.7125,불일치 (전산 역학/음향 물리 주력)
Genetic Programming and Evolvable Machines,GENET PROGRAM EVOL M,SPRINGER,1389-2576,1573-7632,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1.9,152/210,0.7238095238095238,가능 (세부 논문 방향에 따라 융합 포장 필요)
Natural Computing,NAT COMPUT,SPRINGER,1567-7818,1572-9796,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1.9,152/210,0.7238095238095238,가능 (통신 시스템/알고리즘 기여도 어필)
COMPUTATIONAL INTELLIGENCE,COMPUT INTELL-US,WILEY,0824-7935,1467-8640,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1.9,152/210,0.7238095238095238,가능 (기존 통신 응용을 넘어선 AI 알고리즘 자체의 독창성 입증 필수)
WIRELESS PERSONAL COMMUNICATIONS,WIRELESS PERS COMMUN,SPRINGER,0929-6212,1572-834X,TELECOMMUNICATIONS,1.9,96/127,0.7559055118110236,적합
AIMS Mathematics,AIMS MATH,AMER INST MATHEMATICAL SCIENCES-AIMS,,2473-6988,"MATHEMATICS, APPLIED",1.8,89/345,0.2579710144927536,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
COMMUNICATIONS IN PARTIAL DIFFERENTIAL EQUATIONS,COMMUN PART DIFF EQ,TAYLOR & FRANCIS INC,0360-5302,1532-4133,"MATHEMATICS, APPLIED",1.8,89/345,0.2579710144927536,가능 (통신 시스템/알고리즘 기여도 어필)
NONLINEAR ANALYSIS-REAL WORLD APPLICATIONS,NONLINEAR ANAL-REAL,PERGAMON-ELSEVIER SCIENCE LTD,1468-1218,1878-5719,"MATHEMATICS, APPLIED",1.8,89/345,0.2579710144927536,가능 (세부 논문 방향에 따라 융합 포장 필요)
SIAM Journal on Applied Algebra and Geometry,SIAM J APPL ALGEBR G,SIAM PUBLICATIONS,2470-6566,2470-6566,"MATHEMATICS, APPLIED",1.8,89/345,0.2579710144927536,가능 (세부 논문 방향에 따라 융합 포장 필요)
NONLINEARITY,NONLINEARITY,IOP Publishing Ltd,0951-7715,1361-6544,"MATHEMATICS, APPLIED",1.8,89/345,0.2579710144927536,가능 (세부 논문 방향에 따라 융합 포장 필요)
SIAM JOURNAL ON COMPUTING,SIAM J COMPUT,SIAM PUBLICATIONS,0097-5397,1095-7111,"MATHEMATICS, APPLIED",1.8,89/345,0.2579710144927536,가능 (통신 시스템/알고리즘 기여도 어필)
JOURNAL OF GLOBAL OPTIMIZATION,J GLOBAL OPTIM,SPRINGER,0925-5001,1573-2916,"MATHEMATICS, APPLIED",1.8,89/345,0.2579710144927536,가능 (세부 논문 방향에 따라 융합 포장 필요)
OPTIMIZATION,OPTIMIZATION,TAYLOR & FRANCIS LTD,0233-1934,1029-4945,"MATHEMATICS, APPLIED",1.8,89/345,0.2579710144927536,가능 (세부 논문 방향에 따라 융합 포장 필요)
JOURNAL OF MATHEMATICAL IMAGING AND VISION,J MATH IMAGING VIS,SPRINGER,0924-9907,1573-7683,"MATHEMATICS, APPLIED",1.8,89/345,0.2579710144927536,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
INSURANCE MATHEMATICS & ECONOMICS,INSUR MATH ECON,ELSEVIER,0167-6687,1873-5959,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",1.8,69/137,0.5036496350364964,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
JOURNAL OF CLASSIFICATION,J CLASSIF,SPRINGER,0176-4268,1432-1343,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",1.8,69/137,0.5036496350364964,가능 (세부 논문 방향에 따라 융합 포장 필요)
Scandinavian Actuarial Journal,SCAND ACTUAR J,TAYLOR & FRANCIS LTD,0346-1238,1651-2030,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",1.8,69/137,0.5036496350364964,가능 (세부 논문 방향에 따라 융합 포장 필요)
International Journal of Computational Methods,INT J COMP METH-SING,WORLD SCIENTIFIC PUBL CO PTE LTD,0219-8762,1793-6969,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",1.8,69/137,0.5036496350364964,가능 (세부 논문 방향에 따라 융합 포장 필요)
MATHEMATICS AND MECHANICS OF SOLIDS,MATH MECH SOLIDS,SAGE PUBLICATIONS LTD,1081-2865,1741-3028,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",1.8,69/137,0.5036496350364964,불일치 (전산 역학/음향 물리 주력)
International Journal of Computers Communications & Control,INT J COMPUT COMMUN,CCC PUBL-AGORA UNIV,1841-9836,1841-9844,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1.8,186/266,0.6992481203007519,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
SIGMOD RECORD,SIGMOD REC,ASSOC COMPUTING MACHINERY,0163-5808,1943-5835,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1.8,186/266,0.6992481203007519,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE TRANSACTIONS ON APPLIED SUPERCONDUCTIVITY,IEEE T APPL SUPERCON,IEEE,1051-8223,1558-2515,"ENGINEERING, ELECTRICAL & ELECTRONIC",1.8,266/369,0.7208672086720868,가능 (세부 논문 방향에 따라 융합 포장 필요)
INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS,INT J COMMUN SYST,WILEY,1074-5351,1099-1131,"ENGINEERING, ELECTRICAL & ELECTRONIC",1.8,266/369,0.7208672086720868,가능 (통신 시스템/알고리즘 기여도 어필)
ANALOG INTEGRATED CIRCUITS AND SIGNAL PROCESSING,ANALOG INTEGR CIRC S,SPRINGER,0925-1030,1573-1979,"ENGINEERING, ELECTRICAL & ELECTRONIC",1.8,266/369,0.7208672086720868,불일치 (반도체/전자 소자 하드웨어 주력)
IET Electric Power Applications,IET ELECTR POWER APP,WILEY,1751-8660,1751-8679,"ENGINEERING, ELECTRICAL & ELECTRONIC",1.8,266/369,0.7208672086720868,불일치 (배터리/전력망/에너지 하드웨어 주력)
IET Circuits Devices & Systems,IET CIRC DEVICE SYST,WILEY,1751-858X,1751-8598,"ENGINEERING, ELECTRICAL & ELECTRONIC",1.8,266/369,0.7208672086720868,불일치 (반도체/전자 소자 하드웨어 주력)
ARTIFICIAL LIFE,ARTIF LIFE,MIT PRESS,1064-5462,1530-9185,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1.8,159/210,0.7571428571428571,가능 (세부 논문 방향에 따라 융합 포장 필요)
INTERNATIONAL JOURNAL OF SATELLITE COMMUNICATIONS AND NETWORKING,INT J SATELL COMM N,WILEY,1542-0973,1542-0981,TELECOMMUNICATIONS,1.8,100/127,0.7874015748031497,적합
JOURNAL OF COMPLEXITY,J COMPLEXITY,ACADEMIC PRESS INC ELSEVIER SCIENCE,0885-064X,1090-2708,"MATHEMATICS, APPLIED",1.7,99/345,0.28695652173913044,가능 (세부 논문 방향에 따라 융합 포장 필요)
Information and Inference-A Journal of the IMA,INF INFERENCE,OXFORD UNIV PRESS,2049-8764,2049-8772,"MATHEMATICS, APPLIED",1.7,99/345,0.28695652173913044,가능 (통신 시스템/알고리즘 기여도 어필)
EUROPEAN JOURNAL OF APPLIED MATHEMATICS,EUR J APPL MATH,CAMBRIDGE UNIV PRESS,0956-7925,1469-4425,"MATHEMATICS, APPLIED",1.7,99/345,0.28695652173913044,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
COMPUTER AIDED GEOMETRIC DESIGN,COMPUT AIDED GEOM D,ELSEVIER,0167-8396,1879-2332,"MATHEMATICS, APPLIED",1.7,99/345,0.28695652173913044,가능 (통신 시스템/알고리즘 기여도 어필)
Journal of Computational and Theoretical Transport,J COMPUT THEOR TRANS,TAYLOR & FRANCIS INC,2332-4309,2332-4325,"MATHEMATICS, APPLIED",1.7,99/345,0.28695652173913044,가능 (세부 논문 방향에 따라 융합 포장 필요)
Astin Bulletin-The Journal of the International Actuarial Association,ASTIN BULL,CAMBRIDGE UNIV PRESS,0515-0361,1783-1350,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",1.7,74/137,0.5401459854014599,가능 (세부 논문 방향에 따라 융합 포장 필요)
ENVIRONMETRICS,ENVIRONMETRICS,WILEY,1180-4009,1099-095X,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",1.7,74/137,0.5401459854014599,가능 (세부 논문 방향에 따라 융합 포장 필요)
Networks and Heterogeneous Media,NETW HETEROG MEDIA,AMER INST MATHEMATICAL SCIENCES-AIMS,1556-1801,1556-1801,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",1.7,74/137,0.5401459854014599,적합
Journal of Grey System,J GREY SYST-UK,RESEARCH INFORMATION LTD,0957-3720,,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",1.7,74/137,0.5401459854014599,가능 (세부 논문 방향에 따라 융합 포장 필요)
Journal of Signal Processing Systems for Signal Image and Video Technology,J SIGNAL PROCESS SYS,SPRINGER,1939-8018,1939-8115,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1.7,189/266,0.7105263157894737,가능 (자율주행 비전/멀티센서 융합 관점 포함 필수)
MOBILE NETWORKS & APPLICATIONS,MOBILE NETW APPL,SPRINGER,1383-469X,1572-8153,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1.7,189/266,0.7105263157894737,적합
IEEE INSTRUMENTATION & MEASUREMENT MAGAZINE,IEEE INSTRU MEAS MAG,IEEE,1094-6969,1941-0123,"ENGINEERING, ELECTRICAL & ELECTRONIC",1.7,275/369,0.7452574525745257,가능 (서베이/매거진 형식으로 작성)
Journal of Electrical Engineering-Elektrotechnicky Casopis,J ELECTR ENG-SLOVAK,SLOVAK UNIV TECHNOLOGY,1335-3632,1339-309X,"ENGINEERING, ELECTRICAL & ELECTRONIC",1.7,275/369,0.7452574525745257,가능 (세부 논문 방향에 따라 융합 포장 필요)
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART D-JOURNAL OF AUTOMOBILE ENGINEERING,P I MECH ENG D-J AUT,SAGE PUBLICATIONS LTD,0954-4070,2041-2991,TRANSPORTATION SCIENCE & TECHNOLOGY,1.7,61/80,0.7625,불일치 (전산 역학/음향 물리 주력)
International Journal on Document Analysis and Recognition,INT J DOC ANAL RECOG,SPRINGER HEIDELBERG,1433-2833,1433-2825,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1.7,161/210,0.7666666666666667,가능 (세부 논문 방향에 따라 융합 포장 필요)
Advances in Continuous and Discrete Models,ADV CONTIN DISCRET M,SPRINGER,,2731-4235,"MATHEMATICS, APPLIED",1.6,108/345,0.3130434782608696,가능 (세부 논문 방향에 따라 융합 포장 필요)
Iranian Journal of Fuzzy Systems,IRAN J FUZZY SYST,UNIV SISTAN & BALUCHESTAN,1735-0654,2676-4334,"MATHEMATICS, APPLIED",1.6,108/345,0.3130434782608696,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
